"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q2",74.27474,
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q3",74.47119,
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q4",74.33272,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q1",74.48933,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q2",70.61123,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q3",72.08835,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q4",73.47577,
"AUS","EMP","TOT","PC_WKGPOP","Q","2021-Q1",74.34683,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q2",73.65823,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q3",73.46721,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q4",73.63594,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q1",73.11522,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q2",71.38448,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q3",72.60997,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q4",72.46516,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",65.71932,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",65.55322,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q4",65.17051,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q1",65.24598,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q2",64.43512,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q3",64.80301,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q4",64.36613,
"CAN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",74.23333,
"CAN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",74.2,
"CAN","EMP","TOT","PC_WKGPOP","Q","2019-Q4",74.13333,
"CAN","EMP","TOT","PC_WKGPOP","Q","2020-Q1",73.03333,
"CAN","EMP","TOT","PC_WKGPOP","Q","2020-Q2",64.66666,
"CAN","EMP","TOT","PC_WKGPOP","Q","2020-Q3",70.23333,
"CAN","EMP","TOT","PC_WKGPOP","Q","2020-Q4",71.96667,
"CAN","EMP","TOT","PC_WKGPOP","Q","2021-Q1",72.06667,
"CZE","EMP","TOT","PC_WKGPOP","Q","2019-Q2",75.16412,
"CZE","EMP","TOT","PC_WKGPOP","Q","2019-Q3",75.12527,
"CZE","EMP","TOT","PC_WKGPOP","Q","2019-Q4",75.08408,
"CZE","EMP","TOT","PC_WKGPOP","Q","2020-Q1",74.92028,
"CZE","EMP","TOT","PC_WKGPOP","Q","2020-Q2",74.24398,
"CZE","EMP","TOT","PC_WKGPOP","Q","2020-Q3",74.24578,
"CZE","EMP","TOT","PC_WKGPOP","Q","2020-Q4",74.13631,
"DNK","EMP","TOT","PC_WKGPOP","Q","2019-Q2",75.01348,
"DNK","EMP","TOT","PC_WKGPOP","Q","2019-Q3",75.11373,
"DNK","EMP","TOT","PC_WKGPOP","Q","2019-Q4",75.32132,
"DNK","EMP","TOT","PC_WKGPOP","Q","2020-Q1",75.18395,
"DNK","EMP","TOT","PC_WKGPOP","Q","2020-Q2",73.89521,
"DNK","EMP","TOT","PC_WKGPOP","Q","2020-Q3",73.95798,
"DNK","EMP","TOT","PC_WKGPOP","Q","2020-Q4",74.57684,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",72.76723,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",73.05428,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q4",73.27524,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q1",73.26674,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q2",70.88503,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q3",71.75549,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q4",72.33883,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q2",65.56136,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q3",65.3323,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q4",65.91389,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q1",65.98866,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q2",64.44196,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q3",65.08636,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q4",65.5986,
"DEU","EMP","TOT","PC_WKGPOP","Q","2019-Q2",76.67345,
"DEU","EMP","TOT","PC_WKGPOP","Q","2019-Q3",76.76378,
"DEU","EMP","TOT","PC_WKGPOP","Q","2019-Q4",76.82298,"B"
"DEU","EMP","TOT","PC_WKGPOP","Q","2020-Q1",76.57148,"E"
"DEU","EMP","TOT","PC_WKGPOP","Q","2020-Q2",76.26547,"E"
"DEU","EMP","TOT","PC_WKGPOP","Q","2020-Q3",76.02626,"E"
"DEU","EMP","TOT","PC_WKGPOP","Q","2020-Q4",75.74673,"E"
"GRC","EMP","TOT","PC_WKGPOP","Q","2019-Q2",56.59154,
"GRC","EMP","TOT","PC_WKGPOP","Q","2019-Q3",56.65002,
"GRC","EMP","TOT","PC_WKGPOP","Q","2019-Q4",56.86855,
"GRC","EMP","TOT","PC_WKGPOP","Q","2020-Q1",56.71524,
"GRC","EMP","TOT","PC_WKGPOP","Q","2020-Q2",55.26184,
"GRC","EMP","TOT","PC_WKGPOP","Q","2020-Q3",56.25756,
"GRC","EMP","TOT","PC_WKGPOP","Q","2020-Q4",56.80347,
"HUN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",70.08907,
"HUN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",70.00723,
"HUN","EMP","TOT","PC_WKGPOP","Q","2019-Q4",70.21009,
"HUN","EMP","TOT","PC_WKGPOP","Q","2020-Q1",69.93896,
"HUN","EMP","TOT","PC_WKGPOP","Q","2020-Q2",68.84309,
"HUN","EMP","TOT","PC_WKGPOP","Q","2020-Q3",69.88078,
"HUN","EMP","TOT","PC_WKGPOP","Q","2020-Q4",70.04329,
"ISL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",84.90231,
"ISL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",82.47989,
"ISL","EMP","TOT","PC_WKGPOP","Q","2019-Q4",83.69937,
"ISL","EMP","TOT","PC_WKGPOP","Q","2020-Q1",83.03415,
"ISL","EMP","TOT","PC_WKGPOP","Q","2020-Q2",79.61266,
"ISL","EMP","TOT","PC_WKGPOP","Q","2020-Q3",81.63451,
"ISL","EMP","TOT","PC_WKGPOP","Q","2020-Q4",76.9638,
"IRL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",69.29079,
"IRL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",69.39823,
"IRL","EMP","TOT","PC_WKGPOP","Q","2019-Q4",69.98714,
"IRL","EMP","TOT","PC_WKGPOP","Q","2020-Q1",69.91766,
"IRL","EMP","TOT","PC_WKGPOP","Q","2020-Q2",65.86265,
"IRL","EMP","TOT","PC_WKGPOP","Q","2020-Q3",67.53184,
"IRL","EMP","TOT","PC_WKGPOP","Q","2020-Q4",67.64262,
"ITA","EMP","TOT","PC_WKGPOP","Q","2019-Q2",58.93628,
"ITA","EMP","TOT","PC_WKGPOP","Q","2019-Q3",59.05666,
"ITA","EMP","TOT","PC_WKGPOP","Q","2019-Q4",59.28461,
"ITA","EMP","TOT","PC_WKGPOP","Q","2020-Q1",59.16529,
"ITA","EMP","TOT","PC_WKGPOP","Q","2020-Q2",57.01668,
"ITA","EMP","TOT","PC_WKGPOP","Q","2020-Q3",57.67551,
"ITA","EMP","TOT","PC_WKGPOP","Q","2020-Q4",58.47471,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",77.66904,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",77.86831,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q4",77.97147,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q1",77.90604,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q2",77.06999,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q3",77.10593,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q4",77.31396,
"JPN","EMP","TOT","PC_WKGPOP","Q","2021-Q1",77.64433,
"KOR","EMP","TOT","PC_WKGPOP","Q","2019-Q2",66.67058,
"KOR","EMP","TOT","PC_WKGPOP","Q","2019-Q3",66.87704,
"KOR","EMP","TOT","PC_WKGPOP","Q","2019-Q4",67.07331,
"KOR","EMP","TOT","PC_WKGPOP","Q","2020-Q1",66.76457,
"KOR","EMP","TOT","PC_WKGPOP","Q","2020-Q2",65.34308,
"KOR","EMP","TOT","PC_WKGPOP","Q","2020-Q3",65.67959,
"KOR","EMP","TOT","PC_WKGPOP","Q","2020-Q4",65.65217,
"KOR","EMP","TOT","PC_WKGPOP","Q","2021-Q1",65.65241,
"LUX","EMP","TOT","PC_WKGPOP","Q","2019-Q2",68.47473,
